n,t,k,Time(s)
10000,10,10,64640112
10000,15,10,93751105
10000,20,10,163241417
10000,25,10,313310755
10000,30,10,651047841
10000,35,10,1469025632
10000,40,10,3205524091
10000,45,10,7435007662
10000,50,10,17207250103
10000,55,10,37479387277
10000,60,10,94967769256
