n,t,k,Time(s)
10000,10,50,247376346
10000,10,100,627100734
10000,10,150,1176892267
10000,10,200,1943460488
10000,10,250,2938430298
10000,10,300,4158848134
10000,10,350,5605276238
10000,10,400,7362837388
10000,10,450,9347597265
10000,10,500,11766346845
10000,10,550,14569872194
10000,10,600,17646442359
10000,10,650,20443922544
10000,10,700,23701360697
10000,10,750,28037720462
